1,lancia,285h,1985,terenowy
2,bmw,131d,2011,suv
3,hyundai,113g,2006,suv
4,peugeot,36g,2005,ciezarowy
5,lancia,131d,1979,ciezarowy
6,hyundai,211e,1990,terenowy
7,peugeot,266f,2008,ciezarowy
8,cadillac,2h,2001,terenowy
9,hyundai,20c,2011,ciezarowy
10,mazda,233d,2020,crossover
11,ford,166f,2013,ciezarowy
12,renault,167e,1975,pickup
13,hyundai,271g,2003,kombi
14,citroen,291e,1997,hatchback
15,cadillac,99d,1992,terenowy
16,alfa romeo,140a,1978,sedan
17,volkswagen,33c,2004,hatchback
18,saab,285e,1974,ciezarowy
19,fiat,70g,2005,kombi
20,opel,282c,1986,sedan
21,volkswagen,6d,1994,suv
22,alfa romeo,190b,1988,hatchback
23,volkswagen,28e,1970,suv
24,ford,231g,2006,pickup
25,renault,21c,2004,crossover
26,audi,177d,1977,terenowy
27,peugeot,299c,1982,ciezarowy
28,citroen,99d,1972,pickup
29,volkswagen,54e,2005,sedan
30,jeep,86h,1985,terenowy
31,ford,282c,1975,hatchback
32,saab,128g,2016,ciezarowy
33,opel,293a,2018,pickup
34,volkswagen,133a,1978,terenowy
35,renault,63c,2012,sedan
36,citroen,51c,1992,terenowy
37,ford,189f,2019,kombi
38,renault,49g,2005,suv
39,mazda,224e,2011,ciezarowy
40,peugeot,140b,1992,terenowy
41,mercedes,117b,2014,ciezarowy
42,mazda,122g,1974,terenowy
43,saab,79f,1975,sedan
44,jeep,54h,2021,sedan
45,alfa romeo,174e,1989,terenowy
46,honda,99a,1974,terenowy
47,renault,65f,2007,sedan
48,bmw,279d,1976,terenowy
49,audi,129g,2011,crossover
50,honda,64c,1990,terenowy
51,audi,292h,1989,crossover
52,mercedes,238c,1998,crossover
53,mazda,175d,1976,crossover
54,citroen,118h,1982,hatchback
55,mazda,52b,2000,pickup
56,alfa romeo,281e,1968,sedan
57,volkswagen,161h,1993,suv
58,alfa romeo,149e,1972,crossover
59,volkswagen,170a,1979,suv
60,mazda,239c,1995,hatchback
61,saab,39h,1995,suv
62,saab,135e,1972,pickup
63,cadillac,71h,2009,kombi
64,audi,289h,2013,ciezarowy
65,audi,272b,2013,suv
66,lancia,163d,2020,pickup
67,alfa romeo,174f,2007,kombi
68,cadillac,114f,1994,sedan
69,saab,257h,1973,sedan
70,honda,169h,1998,terenowy
71,volkswagen,103e,1990,pickup
72,honda,192h,2008,pickup
73,hyundai,127a,1986,suv
74,honda,276b,2014,hatchback
75,citroen,239h,2014,suv
76,volkswagen,149b,2007,ciezarowy
77,volkswagen,39b,2016,crossover
78,citroen,147d,1979,kombi
79,fiat,36f,1974,crossover
80,alfa romeo,262e,1992,suv
81,mercedes,236c,2009,terenowy
82,audi,258h,1968,ciezarowy
83,citroen,178e,1999,kombi
84,mercedes,249d,1971,sedan
85,mazda,135f,2015,terenowy
86,ford,179a,2015,hatchback
87,hyundai,261b,1974,pickup
88,fiat,250b,2020,suv
89,opel,180a,1977,ciezarowy
90,ford,122d,1976,sedan
91,polonez,276f,1971,terenowy
92,mercedes,124d,2018,crossover
93,bmw,203c,1987,pickup
94,hyundai,84h,1976,pickup
95,volvo,161g,1982,suv
96,opel,57h,1986,ciezarowy
97,fiat,42e,2001,suv
98,fiat,225c,1975,ciezarowy
99,mercedes,173a,2006,pickup
100,renault,79b,1981,terenowy
101,volvo,136f,1995,ciezarowy
102,renault,101h,1986,suv
103,fiat,49h,2010,ciezarowy
104,ford,183d,2011,suv
105,peugeot,288e,2008,ciezarowy
106,renault,248g,2002,terenowy
107,opel,92h,1971,terenowy
108,hyundai,35d,2004,hatchback
109,polonez,4f,2007,pickup
110,audi,133h,1984,crossover
111,peugeot,45b,1992,suv
112,opel,177c,1970,suv
113,cadillac,95e,2006,suv
